Molecule,a0,a1,a2,a3,a4,S
ch2F,5.941014730351647,0.0146022859255427,-6.343812536822349e-06,1.007435304129869e-09,1.493408395944174e-14,56.44
ch3,7.163181378199127,0.0071891247890276,8.918304898681767e-07,-1.6497179269456563e-09,3.443243819090683e-13,47.906
co,7.199149955737092,-0.0022308009753655,5.640240886013035e-06,-3.4591729257553047e-09,6.845256637698591e-13,47.228
epoxide,2.756813374388477,0.0814340663923909,-7.993647818115471e-05,3.6265508824833535e-08,-6.208103031270841e-12,76.054
fbsa,11.233976754029218,0.2212467679037711,-0.0002190578343242,1.0109278611552145e-07,-1.7593383214125148e-11,131.185
fetsa,7.802376168428759,0.1444165355017116,-0.0001425113459242,6.598783450135275e-08,-1.1535235348626475e-11,104.167
fhpsa,16.036830768267567,0.3374309383168956,-0.0003348602390888,1.5420824628590794e-07,-2.6759698377038268e-11,172.271
fhxsa,14.380692883526669,0.2988235310706864,-0.0002963570531413,1.3653788529014013e-07,-2.3708758610400144e-11,158.234
fosa,17.75797845931156,0.3757842186481853,-0.0003730243723886,1.7169070272898893e-07,-2.9773629246347355e-11,185.925
fprsa,9.45826489299543,0.1830565152107366,-0.0001810825642924,8.370512581478796e-08,-1.4596628350516788e-11,117.125
frd_903,10.096119791503163,0.2524467500688417,-0.0002467900961076,1.1210462724191917e-07,-1.923517596626512e-11,143.633
heptane,13.078371503984728,0.2843136316841613,-0.0002824079568595,1.2917981656337653e-07,-2.2244920909211528e-11,153.809
heptene,13.3728613034138,0.2516936210094194,-0.0002480392371653,1.1297977929552949e-07,-1.9411312993875822e-11,147.337
hexane,11.36041783847009,0.245965834262878,-0.0002442577144578,1.1170557016824565e-07,-1.9232415457611588e-11,139.809
hexene,11.802131555542086,0.2128230586691842,-0.0002092196014268,9.51424955349913e-08,-1.6328373614480767e-11,134.199
n_octane_twisted,14.413157049087893,0.3239845845725801,-0.0003222316965594,1.4755408198259112e-07,-2.5430860403877427e-11,166.526
nmefosaa,11.743165082742244,0.2761325379745185,-0.0002575414774578,1.1408121248005432e-07,-1.9286994227459994e-11,153.137
octene,15.173640145048608,0.2898349585657109,-0.0002859653836939,1.303420330620399e-07,-2.2402984709475208e-11,161.734
pentane,9.792937187575015,0.2070314304717537,-0.0002053310861414,9.380455289559209e-08,-1.613666025078256e-11,126.598
pentene,10.062861082200296,0.174482009155639,-0.0001710543626192,7.765754443852852e-08,-1.3314045772698711e-11,119.442
pfba,7.489788563220455,0.1597912947615911,-0.0001548979581168,7.016762864296534e-08,-1.2031378515989348e-11,110.045
pfbal,8.786954595395752,0.1492651538054817,-0.0001460046874743,6.618541794493947e-08,-1.1334509695533592e-11,109.973
pfbcof,8.787690928186015,0.1492684593389727,-0.0001460142426034,6.619258359290236e-08,-1.1336160683472747e-11,109.982
pfboh,8.272997567917349,0.1763991773536528,-0.0001740666667296,7.971273780908929e-08,-1.3763303616996846e-11,113.586
pfbs,11.175451613922124,0.2151905395736574,-0.0002154171878263,9.967282718542152e-08,-1.7343868508280523e-11,129.892
pfeoh,4.689930424748097,0.1002867179739682,-9.857969050371576e-05,4.5230831366243e-08,-7.832421056110529e-12,84.568
pfets,7.862285706798313,0.137698272220388,-0.0001379024102106,6.402323698800161e-08,-1.1179606579069256e-11,101.57
pfhpa,12.70508898105532,0.2747321723227347,-0.0002692684761412,1.2255779171066108e-07,-2.1063261031977696e-11,151.734
pfhpcof,14.076195149618828,0.2639467230947818,-0.0002600411704231,1.1839317072559432e-07,-2.033076142494827e-11,151.871
pfhpoh,13.374386518114134,0.2917423438002807,-0.0002889508833926,1.3238171561872633e-07,-2.2849505893445288e-11,155.321
pfhps,16.25193058119431,0.3303940777077436,-0.0003300072083536,1.521614601146677e-07,-2.6394053866114388e-11,172.057
pfhxa,10.972772126285756,0.2364199195062641,-0.0002311604975987,1.0510699697278997e-07,-1.80556456689742e-11,137.721
pfhxcof,12.286144381573434,0.2258070748030728,-0.0002221378930417,1.0104878085264509e-07,-1.7343210165884412e-11,137.548
pfhxoh,11.62620439403636,0.2534576844207423,-0.0002508630988926,1.149375705457818e-07,-1.984260234932316e-11,141.242
pfhxs,14.784680539557051,0.2911841335631415,-0.0002907671501903,1.3410139699583138e-07,-2.326870472922478e-11,158.459
pfoa,14.427269217785003,0.3131042276921948,-0.000307473029139,1.400675413880828e-07,-2.408328563764171e-11,165.667
pfocof,14.07985043949594,0.263934412770236,-0.0002600234956185,1.1838220223768104e-07,-2.032837804931797e-11,151.881
pfooh,14.7737165394826,0.331207776686553,-0.0003285247932516,1.5062507943848146e-07,-2.601074089932573e-11,168.239
pfos,18.35711702651741,0.3677531466782219,-0.0003670966460106,1.691069388753431e-07,-2.930783897473263e-11,187.095
pfpeoh,9.963710602846044,0.2149149462796634,-0.0002124645865249,9.73291889147161e-08,-1.6804191395478626e-11,127.536
pfpes,12.939739028563237,0.2532334534379588,-0.0002531019400487,1.1688468305939828e-07,-2.0305697219308108e-11,144.31
pfpna,9.224511027761007,0.1981218622568973,-0.0001930484173576,8.764737694549918e-08,-1.5045338528675738e-11,123.69
pfpncof,10.495908352523218,0.1876582795564382,-0.0001842154772806,8.369106872955596e-08,-1.4352591193132655e-11,123.371
pfpra,5.728546176402996,0.1215604564572279,-0.0001168779656448,5.275777981835216e-08,-9.030624705888132e-12,96.242
pfprcof,7.0148243117019335,0.1110996362203989,-0.0001080794275804,4.882966255229891e-08,-8.344492248947182e-12,95.56
pfproh,6.821369217510665,0.1371477730416083,-0.0001347893173583,6.163925248705126e-08,-1.0636445956086164e-11,101.574
pfprs,9.535703323106588,0.1763362593424761,-0.0001765000510078,8.176176860081437e-08,-1.4245847095444419e-11,116.915
propene,4.419075506604137,0.0990532460372677,-9.661224247691698e-05,4.377189385336877e-08,-7.500273806484052e-12,84.441
tfa,1.851971398159044,0.0837956561454363,-7.941703069637973e-05,3.5630312191569434e-08,-6.081285199096253e-12,75.177
tfcof,5.196921590087837,0.0731933327006083,-7.052360749770386e-05,3.167966999898283e-08,-5.3944928003989216e-12,79.91
triflate_amide,5.7570880742574255,0.1070586234333671,-0.0001055108809212,4.910184602034652e-08,-8.632822716268574e-12,87.728
triflic,6.095603228031632,0.0997487298140731,-0.0001003925537819,4.6933979131390624e-08,-8.246251803791699e-12,87.01
