Molecule,IUPAC,sp2 Pair Count C-C,sp2 Pair Count C-O,sp2 Total Count,sp3 Pair Count C-C,sp3 Pair Count C-F,sp3 Pair Count C-H,sp3 Pair Count C-O,sp3 Pair Count F-H,sp3 Pair Count H-O,sp3 Pair Count O-O,sp3 Total Count,Num. Atoms C,Num. Atoms F,Num. Atoms H,Num. Atoms O,SMILES,Torsions Number of Rot. Bonds,C-C-C-C Torsions,C-C-C-F Torsions,C-C-C-H Torsions,C-C-C-O Torsions,C-C-O-C Torsions,C-C-O-H Torsions,C-C-O-O Torsions,C-O-C-C Torsions,C-O-C-F Torsions,C-O-C-H Torsions,C-O-C-O Torsions,F-C-C-C Torsions,F-C-C-F Torsions,F-C-C-H Torsions,F-C-C-O Torsions,F-C-O-C Torsions,F-C-O-H Torsions,F-C-O-O Torsions,H-C-C-C Torsions,H-C-C-F Torsions,H-C-C-H Torsions,H-C-C-O Torsions,H-C-O-C Torsions,H-C-O-H Torsions,H-O-C-C Torsions,H-O-C-F Torsions,H-O-C-O Torsions,O-C-C-C Torsions,O-C-C-F Torsions,O-C-C-H Torsions,O-C-C-O Torsions,O-C-O-C Torsions,O-C-O-H Torsions
heptane1H,C7HF15,0.0,0.0,0.0,6.0,15.0,1.0,0.0,0.0,0.0,0.0,22,7,15.0,1.0,0.0,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frd_903_cof_OH,C6HF12O3,0.0,0.0,0.0,4.0,12.0,0.0,4.0,0.0,1.0,0.0,21,6,12.0,1.0,3.0,[O]C(O)(F)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,7,0.0,6.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,14.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0
frd_903,C6HF11O3,0.0,1.0,1.0,4.0,11.0,0.0,3.0,0.0,1.0,0.0,19,6,11.0,1.0,3.0,O=C(O)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,7,0.0,5.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,13.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0
butene_2OH,C4HF8O,0.0,0.0,0.0,3.0,8.0,0.0,1.0,0.0,1.0,0.0,13,4,8.0,1.0,1.0,O[C@](F)([C](F)F)C(F)(F)C(F)(F)F,4,1.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pfhpa,C7HF13O2,0.0,1.0,1.0,6.0,13.0,0.0,1.0,0.0,1.0,0.0,21,7,13.0,1.0,2.0,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,4.0,11.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pfhpal,C7F14O,0.0,1.0,1.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,20,7,14.0,0.0,1.0,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,4.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pfpeoh,C5HF11O,0.0,0.0,0.0,4.0,11.0,0.0,1.0,0.0,1.0,0.0,17,5,11.0,1.0,1.0,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,2.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31_butene,C4H2F6,1.0,0.0,1.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,10,4,6.0,2.0,0.0,C=C(F)C(F)(F)C(F)(F)F,2,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pentane,C5F12,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,16,5,12.0,0.0,0.0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_pentane,C5HF9O2,0.0,1.0,1.0,4.0,9.0,0.0,1.0,0.0,1.0,0.0,15,5,9.0,1.0,2.0,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,2.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
c5_secondary_rad,C5F11,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,15,5,11.0,0.0,0.0,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,4,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hfp_1oh_2rad_scanhf,C3HF6O,0.0,1.0,1.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,8,3,6.0,1.0,1.0,F.O=C(F)[C](F)C(F)(F)F,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_propyl,C3F7,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,9,3,7.0,0.0,0.0,F[C](F)C(F)(F)C(F)(F)F,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pfeoh,C2HF5O,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,8,2,5.0,1.0,1.0,OC(F)(F)C(F)(F)F,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41_pentene,C5H2F8,1.0,0.0,1.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,13,5,8.0,2.0,0.0,C=C(F)C(F)(F)C(F)(F)C(F)(F)F,3,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2f4o2,C2F4O2,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,7,2,4.0,0.0,2.0,[O]OC(F)(F)[C](F)F,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22ftoh,C4H5F5O,0.0,0.0,0.0,3.0,5.0,4.0,1.0,0.0,1.0,0.0,14,4,5.0,5.0,1.0,OCCC(F)(F)C(F)(F)F,4,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52_heptene,C7H3F11,1.0,0.0,1.0,5.0,11.0,3.0,0.0,0.0,0.0,0.0,19,7,11.0,3.0,0.0,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,4.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c5_sec_tert_rad_isots,C5F11,1.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,13,5,11.0,0.0,0.0,F/C(=C(/F)C(F)(F)C(F)(F)F)C(F)(F)F.[F],3,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cf3o_cf2o_prod,C2F5O2,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,8,2,5.0,0.0,2.0,[O]C(F)(F)OC(F)(F)F,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cf2o_2h2oprod,CH4F2O3,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,8,1,2.0,4.0,3.0,O.OC(O)(F)F,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1H_dodecane,C12HF25,0.0,0.0,0.0,11.0,25.0,1.0,0.0,0.0,0.0,0.0,37,12,25.0,1.0,0.0,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,11,9.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42rh,C6H5F9,0.0,0.0,0.0,5.0,9.0,5.0,0.0,0.0,0.0,0.0,19,6,9.0,5.0,0.0,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frd_903_carbF,C6F12O2,0.0,1.0,1.0,4.0,12.0,0.0,2.0,0.0,0.0,0.0,18,6,12.0,0.0,2.0,O=C(F)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,6,0.0,6.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,14.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0
cf2oh,CHF2O,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,4,1,2.0,1.0,1.0,O[C](F)F,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c8_secondary_rad,C8F17,0.0,0.0,0.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,24,8,17.0,0.0,0.0,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_octane_c4_rad,C4F9,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,12,4,9.0,0.0,0.0,F[C](F)C(F)(F)C(F)(F)C(F)(F)F,3,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42_hexene,C6H3F9,1.0,0.0,1.0,4.0,9.0,3.0,0.0,0.0,0.0,0.0,16,6,9.0,3.0,0.0,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hfp_1oh_2nd,C3HF6O,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,10,3,6.0,1.0,1.0,OC(F)(F)[C](F)C(F)(F)F,3,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1H_decane,C10HF21,0.0,0.0,0.0,9.0,21.0,1.0,0.0,0.0,0.0,0.0,31,10,21.0,1.0,0.0,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,9,7.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_hexyl,C6F13,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,18,6,13.0,0.0,0.0,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
co2h,CHO2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1,0.0,1.0,2.0,O=[C]O,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
frd_903_0HFAts_prod,C6HF11O3,0.0,1.0,1.0,4.0,10.0,0.0,4.0,1.0,0.0,0.0,19,6,11.0,1.0,3.0,F.O=C1O[C@]1(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,5,0.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
octane1H,C8HF17,0.0,0.0,0.0,7.0,17.0,1.0,0.0,0.0,0.0,0.0,25,8,17.0,1.0,0.0,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,5.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1H_nonane,C9HF19,0.0,0.0,0.0,8.0,19.0,1.0,0.0,0.0,0.0,0.0,28,9,19.0,1.0,0.0,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,6.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2f4h2o_prod,C2H2F4O,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,8,2,4.0,2.0,1.0,OC(F)(F)C(F)F,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
butene_OH,C4HF8O,0.0,0.0,0.0,3.0,8.0,0.0,1.0,0.0,1.0,0.0,13,4,8.0,1.0,1.0,OC(F)(F)[C](F)C(F)(F)C(F)(F)F,4,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1H_undecane,C11HF23,0.0,0.0,0.0,10.0,23.0,1.0,0.0,0.0,0.0,0.0,34,11,23.0,1.0,0.0,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10,8.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
butene,C4F8,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,10,4,8.0,0.0,0.0,FC(F)=C(F)C(F)(F)C(F)(F)F,2,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53_ftca,C8H5F11O2,0.0,1.0,1.0,7.0,11.0,4.0,1.0,0.0,1.0,0.0,24,8,11.0,5.0,2.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,5.0,9.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
heptene,C7F14,1.0,0.0,1.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,19,7,14.0,0.0,0.0,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cfoh3,CH3FO3,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,7,1,1.0,3.0,3.0,OC(O)(O)F,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
cf2oh2,CH2F2O2,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,6,1,2.0,2.0,2.0,OC(O)(F)F,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hfp_2oh_2rad_prod,C3HF6O,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,10,3,6.0,1.0,1.0,O[C](C(F)(F)F)C(F)(F)F,3,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
butane1H,C4HF9,0.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,13,4,9.0,1.0,0.0,FC(F)C(F)(F)C(F)(F)C(F)(F)F,3,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_octane_c7_carbene,C7F14,0.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,20,7,14.0,0.0,0.0,F[C]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pfboh,C4HF9O,0.0,0.0,0.0,3.0,9.0,0.0,1.0,0.0,1.0,0.0,14,4,9.0,1.0,1.0,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hexane,C6F14,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,19,6,14.0,0.0,0.0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c4_secondary_rad,C4F9,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,12,4,9.0,0.0,0.0,F[C](C(F)(F)F)C(F)(F)C(F)(F)F,3,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23_ftca,C5H5F5O2,0.0,1.0,1.0,4.0,5.0,4.0,1.0,0.0,1.0,0.0,15,5,5.0,5.0,2.0,O=C(O)CCC(F)(F)C(F)(F)F,5,2.0,3.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2_octene,C8F16,1.0,0.0,1.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,22,8,16.0,0.0,0.0,F/C(=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,6,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pfbcof,C4F8O,0.0,1.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,11,4,8.0,0.0,1.0,O=C(F)C(F)(F)C(F)(F)C(F)(F)F,3,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c3_oco2h,C4HF7O3,0.0,1.0,1.0,2.0,7.0,0.0,3.0,0.0,1.0,0.0,13,4,7.0,1.0,3.0,O=C(O)OC(F)(F)C(F)(F)C(F)(F)F,5,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hfp_1oh_1rad_prod,C3HF6O,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,10,3,6.0,1.0,1.0,O[C](F)C(F)(F)C(F)(F)F,3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_octyl,C8F17,0.0,0.0,0.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,24,8,17.0,0.0,0.0,F[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
