Molecule,IUPAC,sp2 Pair Count C-C,sp2 Pair Count C-O,sp2 Total Count,sp3 Pair Count C-C,sp3 Pair Count C-F,sp3 Pair Count C-H,sp3 Pair Count C-O,sp3 Pair Count F-H,sp3 Pair Count H-O,sp3 Pair Count O-O,sp3 Total Count,Num. Atoms C,Num. Atoms F,Num. Atoms H,Num. Atoms O,SMILES,Torsions Number of Rot. Bonds,C-C-C-C Torsions,C-C-C-F Torsions,C-C-C-H Torsions,C-C-C-O Torsions,C-C-O-C Torsions,C-C-O-H Torsions,C-C-O-O Torsions,C-O-C-C Torsions,C-O-C-F Torsions,C-O-C-H Torsions,C-O-C-O Torsions,F-C-C-C Torsions,F-C-C-F Torsions,F-C-C-H Torsions,F-C-C-O Torsions,F-C-O-C Torsions,F-C-O-H Torsions,F-C-O-O Torsions,H-C-C-C Torsions,H-C-C-F Torsions,H-C-C-H Torsions,H-C-C-O Torsions,H-C-O-C Torsions,H-C-O-H Torsions,H-O-C-C Torsions,H-O-C-F Torsions,H-O-C-O Torsions,O-C-C-C Torsions,O-C-C-F Torsions,O-C-C-H Torsions,O-C-C-O Torsions,O-C-O-C Torsions,O-C-O-H Torsions
52rh,C7H5F11,0.0,0.0,0.0,6.0,11.0,5.0,0.0,0.0,0.0,0.0,22,7,11.0,5.0,0.0,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,4.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpropane_intts_prod,C3F6,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,8,3,6.0,0.0,0.0,F[C](F)C(F)(F)[C](F)F,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pfpra,C3HF5O2,0.0,1.0,1.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,9,3,5.0,1.0,2.0,O=C(O)C(F)(F)C(F)(F)F,3,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
propane1H,C3HF7,0.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,10,3,7.0,1.0,0.0,FC(F)C(F)(F)C(F)(F)F,2,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32rh,C5H5F7,0.0,0.0,0.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,16,5,7.0,5.0,0.0,CCC(F)(F)C(F)(F)C(F)(F)F,4,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_heptyl,C7F15,0.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,21,7,15.0,0.0,0.0,F[C](C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,6,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71_octene,C8H2F14,1.0,0.0,1.0,6.0,14.0,2.0,0.0,0.0,0.0,0.0,22,8,14.0,2.0,0.0,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32_pentene,C5H3F7,1.0,0.0,1.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,13,5,7.0,3.0,0.0,C=CC(F)(F)C(F)(F)C(F)(F)F,3,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cf2_tfa_prod,C3HF5O2,0.0,1.0,1.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,9,3,5.0,1.0,2.0,O=C(OC(F)F)C(F)(F)F,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
octene,C8F16,1.0,0.0,1.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,22,8,16.0,0.0,0.0,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e1,C5HF11O,0.0,0.0,0.0,3.0,11.0,1.0,2.0,0.0,0.0,0.0,17,5,11.0,1.0,1.0,F[C@@H](OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,5,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,13.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
33_ftca,C6H5F7O2,0.0,1.0,1.0,5.0,7.0,4.0,1.0,0.0,1.0,0.0,18,6,7.0,5.0,2.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)F,6,3.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2_pentene,C5F10,1.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,13,5,10.0,0.0,0.0,F/C(=C(/F)C(F)(F)C(F)(F)F)C(F)(F)F,3,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tfcof_oh,C2HF4O2,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,0.0,8,2,4.0,1.0,2.0,[O]C(O)(F)C(F)(F)F,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
