Molecule,a0,a1,a2,a3,a4,S(300K)
pfhps,16.2519305811943,0.330394077707744,-0.0003300072083536,1.52161460114668E-07,-2.63940538661144E-11,172.057
pfhxa,10.9727721262858,0.236419919506264,-0.0002311604975987,1.0510699697279E-07,-1.80556456689742E-11,137.721
pfhxcof,12.2861443815734,0.225807074803073,-0.0002221378930417,1.01048780852645E-07,-1.73432101658844E-11,137.548
pfhxoh,11.6262043940364,0.253457684420742,-0.0002508630988926,1.14937570545782E-07,-1.98426023493232E-11,141.242
pfhxs,14.7846805395571,0.291184133563142,-0.0002907671501903,1.34101396995831E-07,-2.32687047292248E-11,158.459
pfoa,14.427269217785,0.313104227692195,-0.000307473029139,1.40067541388083E-07,-2.40832856376417E-11,165.667
pfocof,14.0798504394959,0.263934412770236,-0.0002600234956185,1.18382202237681E-07,-2.0328378049318E-11,151.881
pfooh,14.7737165394826,0.331207776686553,-0.0003285247932516,1.50625079438481E-07,-2.60107408993257E-11,168.239
pfos,18.3571170265174,0.367753146678222,-0.0003670966460106,1.69106938875343E-07,-2.93078389747326E-11,187.095
pfpeoh,9.96371060284604,0.214914946279663,-0.0002124645865249,9.73291889147161E-08,-1.68041913954786E-11,127.536
pfpes,12.9397390285632,0.253233453437959,-0.0002531019400487,1.16884683059398E-07,-2.03056972193081E-11,144.31
pfpna,9.22451102776101,0.198121862256897,-0.0001930484173576,8.76473769454992E-08,-1.50453385286757E-11,123.69
pfpncof,10.4959083525232,0.187658279556438,-0.0001842154772806,8.3691068729556E-08,-1.43525911931327E-11,123.371
pfpra,5.728546176403,0.121560456457228,-0.0001168779656448,5.27577798183522E-08,-9.03062470588813E-12,96.242
pfprcof,7.01482431170193,0.111099636220399,-0.0001080794275804,4.88296625522989E-08,-8.34449224894718E-12,95.56
pfproh,6.82136921751067,0.137147773041608,-0.0001347893173583,6.16392524870513E-08,-1.06364459560862E-11,101.574
pfprs,9.53570332310659,0.176336259342476,-0.0001765000510078,8.17617686008144E-08,-1.42458470954444E-11,116.915
propene,4.41907550660414,0.0990532460372677,-9.6612242476917E-05,4.37718938533688E-08,-7.50027380648405E-12,84.441
tfa,1.85197139815904,0.0837956561454363,-7.94170306963797E-05,3.56303121915694E-08,-6.08128519909625E-12,75.177
tfcof,5.19692159008784,0.0731933327006083,-7.05236074977039E-05,3.16796699989828E-08,-5.39449280039892E-12,79.91
triflate_amide,5.75708807425743,0.107058623433367,-0.0001055108809212,4.91018460203465E-08,-8.63282271626857E-12,87.728
triflic,6.09560322803163,0.0997487298140731,-0.0001003925537819,4.69339791313906E-08,-8.2462518037917E-12,87.01
