Molecule,SMILES,C,F,sp3 Total Bond Count,Pair Count sp3 C-F,Pair Count sp3 C-C,sp2 Total Bond Count,Pair Count sp2 C-C,C-C-C-C,C-C-C-F,F-C-C-C,F-C-C-F,Number of Rot. Bonds,O,H,Pair Count sp3 H-O,Pair Count sp3 C-O,H-O-C-F,H-O-C-C,O-C-C-C,O-C-C-F,F-C-C-O,C-C-C-O,C-C-O-H,F-C-O-H,Pair Count sp2 C-O,Pair Count sp3 C-H,F-C-C-H,O-C-C-H,Pair Count sp3 O-O,C-C-O-O,F-C-O-O,C-C-C-H,H-C-O-H,O-C-O-H,H-O-C-O,C-C-O-C,F-C-O-C,C-O-C-H,C-O-C-F,C-O-C-C,H-C-C-F,O-C-C-O,C-O-C-O,O-C-O-C,H-C-C-C,H-C-C-O,H-C-C-H
31_butene,C=C(F)C(F)(F)C(F)(F)F,4,6,10,29,7,1,1,1,4,2,8,2,,2,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,
32_pentene,C=CC(F)(F)C(F)(F)C(F)(F)F,5,7,13,45,10,1,1,2,5,4,10,3,,3,,,,,,,,,,,,36,2,,,,,1,,,,,,,,,,,,,,,
32ftoh,OCCC(F)(F)C(F)(F)C(F)(F)F,5,7,17,50,22,,,2,5,4,10,5,1,5,17,14,,,,,,1,1,,,50,4,,,,,4,2,,,,,,,,,,,,,2,4
32rh,CCC(F)(F)C(F)(F)C(F)(F)F,5,7,16,41,25,,,2,2,7,10,4,,5,,,,,,,,,,,,70,4,,,,,5,,,,,,,,,,,,,,,6
33_ftca,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)F,6,7,18,83,33,1,,3,5,4,10,6,2,5,12,11,,,,,,2,1,,1,32,4,,,,,4,,1,,,,,,,,,,,2,4,4
42ftoh,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,9,20,84,33,,,3,7,6,14,6,1,5,20,17,,,,,,1,1,,,56,4,,,,,4,2,,,,,,,,,,,,,2,4
42rh,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,9,19,66,39,,,3,4,9,14,5,,5,,,,,,,,,,,,85,4,,,,,5,,,,,,,,,,,,,,,6
43_ftca,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,9,21,116,48,1,,4,7,6,14,7,2,5,9,8,,,,,,2,1,,1,50,4,,,,,4,,1,,,,,,,,,,,2,4,4
51_hexene,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,10,16,84,23,1,1,3,8,6,16,4,,2,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,
52_heptene,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,11,19,114,34,1,1,4,9,8,18,5,,3,,,,,,,,,,,,42,2,,,,,1,,,,,,,,,,,,,,,
52rh,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,11,22,97,56,,,4,6,11,18,6,,5,,,,,,,,,,,,100,4,,,,,5,,,,,,,,,,,,,,,6
53_ftca,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,11,24,159,67,1,,5,9,8,18,8,2,5,9,7,,,,,,2,1,,1,58,4,,,,,4,,1,,,,,,,,,,,2,4,4
61_heptene,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,12,19,119,34,1,1,4,10,8,20,5,,2,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,
