SMILES,Log Name
F[C]([C@](C(F)(F)F)(F)O)F,hfp_2oh_1rad_prod
FC1(F)C(C1(F)F)(F)F,cpropane
FC(C(F)(F)F)(C(F)(F)F)F,c3f8
F[C@@H](C(C(F)(F)F)(F)F)C(F)(F)F,2Hbutane
FC(=O)F,cf2o
O/C(=C(\C(F)(F)F)/F)/F.[F],hfp_1oh_ts
F[C](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,3_heptyl
FC(=C)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,51_hexene
OC(=O)CNS(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,nmefosaa
F[C]F,cf2
F[C](F)F,cf3
FC([C](F)F)F,cf2hcf2
[O]S(CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)([O])O,62_fts
NS(=O)(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,62_ftsa
FC(C(F)(F)F)(F)F,c2f6
FC(=O)[C](C(F)(F)F)F,c3f5co
F[C](C(C([C](F)F)(F)F)(F)F)F,cbutane_diradical
[O],o
