Log Files (Rel. Path),Log Files,Molecule,SMILES,a0,a1,a2,a3,a4,H_f_0K,S(300K),sp2 Pair Count C-C,sp2 Pair Count C-O,sp2 Pair Count O-O,sp2 Total Count,sp3 Pair Count C-C,sp3 Pair Count C-F,sp3 Pair Count C-O,sp3 Pair Count O-O,sp3 Total Count,Num. Atoms C,Num. Atoms F,Num. Atoms O,Torsions Number of Rot. Bonds,C-C-C-C Torsions,C-C-C-F Torsions,C-C-O-C Torsions,C-O-C-C Torsions,C-O-C-F Torsions,F-C-C-C Torsions,F-C-C-F Torsions,F-C-C-O Torsions,F-C-O-C Torsions,O-C-C-C Torsions,O-C-C-F Torsions,O-C-C-O Torsions,O-C-O-C Torsions,O-O-C-C Torsions,O-O-C-F Torsions
qchem_data/log/cf3ccf2.log,cf3ccf2.log,C3F5,C([C]=C(F)F)(F)(F)F,10.973,0.071301,-6.68e-05,2.93e-08,-4.92e-12,-160.82,90.468,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,6.0,3.0,5.0,0.0,1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/propene.log,propene.log,C3F6,C(=C(C(F)(F)F)F)(F)F,6.3689,0.09903,-9.65e-05,4.37e-08,-7.48e-12,-264.42,89.765305,1.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,7.0,3.0,6.0,0.0,1,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/c3f6o2_1st.log,c3f6o2_1st.log,C3F6O2_1st,[C](C(F)(F)O[O])(F)C(F)(F)F,8.4398,0.12567,-0.00012458,5.69e-08,-9.78e-12,0.0,106.04,0.0,0.0,0.0,0.0,2.0,6.0,1.0,1.0,10.0,3.0,6.0,2.0,3,0.0,3.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0
qchem_data/log/c3f6o2_ring.log,c3f6o2_ring.log,C3F6O2_dioxane,[C@]1(C(F)(F)OO1)(F)C(F)(F)F,4.2387,0.13347,-0.00013031,5.87e-08,-9.98e-12,0.0,95.386,0.0,0.0,0.0,0.0,2.0,6.0,2.0,1.0,11.0,3.0,6.0,2.0,1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/c3f6o.log,c3f6o.log,C3F6O_epox,[C@]1(C(F)(F)O1)(F)C(F)(F)F,4.2664,0.11981,-0.00011762,5.33e-08,-9.12e-12,-337.64,91.474,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,10.0,3.0,6.0,1.0,1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/c3f7.log,c3f7.log,C3F7,[C](F)(C(F)(C(F)(F)F)F)F,7.0521,0.11421,-0.00011277,5.1348,-8.8107e-12,-312.05,96.762,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,9.0,3.0,7.0,0.0,2,0.0,3.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/propane1H.log,propane1H.log,C3F7H,C(F)(F)(C(F)(F)C(F)F)F,5.9291,0.11846,-0.00011,4.81e-08,-8.01e-12,-361.38,95.555,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,9.0,3.0,7.0,0.0,2,0.0,3.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/c3f7oh.log,c3f7oh.log,C3F7OH,C(F)(F)(C(F)(C(F)(F)O)F)F,6.8733,0.13708,-0.0001347,6.16e-08,-1.06e-11,-412.21,101.53,0.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,10.0,3.0,7.0,1.0,2,0.0,3.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
qchem_data/log/c3f8.log,c3f8.log,C3F8,C(F)(F)(F)C(F)(F)C(F)(F)F,1.9759,0.054518,-1.01e-05,-6.9e-09,2.45e-12,-418.32,64.110605,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,10.0,3.0,8.0,0.0,2,0.0,3.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/butane.log,butane.log,C4F10,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8.0151,0.16889,-0.00016744,7.65e-08,-1.32e-11,-516.57,112.543919,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,13.0,4.0,10.0,0.0,3,1.0,5.0,0.0,0.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
