Log Files (Rel. Path),Log Files_x,SMILES,Log Names,Abbreviation,Log Files_y,a0,a1,a2,a3,a4,H_f_0K,S(300K)
qchem_data/log/52_heptene.log,52_heptene.log,C(F)(F)(C=C)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,52_heptene,,,,,,,,,
qchem_data/log/42_hexene.log,42_hexene.log,C(F)(F)(C=C)C(C(C(F)(F)F)(F)F)(F)F,42_hexene,,,,,,,,,
qchem_data/log/32_pentene.log,32_pentene.log,C(F)(F)(C=C)C(C(F)(F)F)(F)F,32_pentene,,,,,,,,,
qchem_data/log/22_butene.log,22_butene.log,C(F)(F)(C=C)C(F)(F)F,22_butene,,,,,,,,,
qchem_data/log/53_ftca.log,53_ftca.log,C(F)(F)(CCC(=O)O)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,53_ftca,,,,,,,,,
qchem_data/log/43_ftca.log,43_ftca.log,C(F)(F)(CCC(=O)O)C(C(F)(F)C(F)(F)F)(F)F,43_ftca,,,,,,,,,
qchem_data/log/33_ftca.log,33_ftca.log,C(F)(F)(CCC(=O)O)C(C(F)(F)F)(F)F,33_ftca,,,,,,,,,
qchem_data/log/23_ftca.log,23_ftca.log,C(F)(F)(CCC(=O)O)C(F)(F)F,23_ftca,,,,,,,,,
qchem_data/log/62_ftsa.log,62_ftsa.log,C(F)(F)(CCS(=O)(=O)N)C(C(F)(F)C(C(F)(F)C(F)(F)F)(F)F)(F)F,62_ftsa,,,,,,,,,
qchem_data/log/52_ftsa.log,52_ftsa.log,C(F)(F)(CCS(=O)(=O)N)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,52_ftsa,,,,,,,,,
qchem_data/log/42_ftsa.log,42_ftsa.log,C(F)(F)(CCS(=O)(=O)N)C(C(F)(F)C(F)(F)F)(F)F,42_ftsa,,,,,,,,,
qchem_data/log/32_ftsa.log,32_ftsa.log,C(F)(F)(CCS(=O)(=O)N)C(C(F)(F)F)(F)F,32_ftsa,,,,,,,,,
