Abbreviation,Log Name_x,Veri. SMILES,a0,a1,a2,a3,a4,H_f_0K,S_300K ,SMILES,Molecule,Log Name_y,Log Path,Unnamed: 0,Log Mol. Objects
,,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,OC(=O)CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C7H5F9O2,43_ftca,/qchem_data/log_to_pdb_in/43_ftca.log,99,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5cb0>
,,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,[O]S(CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(O)[O],C7H5F11O3S,52_fts,/qchem_data/log_to_pdb_in/52_fts.log,105,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5ee0>
,,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,[O]S(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(O)[O],C5HF11O3S,pfpes,/qchem_data/log_to_pdb_in/pfpes.log,111,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac6260>
,,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C8H5F13O,62ftoh,/qchem_data/log_to_pdb_in/62ftoh.log,117,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac6420>
,,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(C(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)F,C7H2F15NO2S,fhpsa,/qchem_data/log_to_pdb_in/fhpsa.log,118,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac6490>
,,F/[C]=C(/F)C(F)(F)F,,,,,,,,F/[C]=C(\C(F)(F)F)/F,C3F5,propene_talphaF_rad,/qchem_data/log_to_pdb_in/propene_talphaF_rad.log,120,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac6570>
,,F[C]=C(F)F,,,,,,,,F[C]=C(F)F,C2F3,cf2cf,/qchem_data/log_to_pdb_in/cf2cf.log,121,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac6730>
,,F[C](C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,F[C](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(C(F)(F)F)(F)F)(F)F,C8F17,4_octyl,/qchem_data/log_to_pdb_in/4_octyl.log,124,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac67a0>
,,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,OCCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C7H5F11O,52ftoh,/qchem_data/log_to_pdb_in/52ftoh.log,126,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac6880>
,,OCCC(F)(F)C(F)(F)C(F)(F)F,,,,,,,,OCCC(C(C(F)(F)F)(F)F)(F)F,C5H5F7O,32ftoh,/qchem_data/log_to_pdb_in/32ftoh.log,127,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac6960>
