Molecule,a0,a1,a2,a3,a4,H_f_0K,S_300K 
1_propane,5.734,0.12156,-0.00011689,5.28e-08,-9.03e-12,-331.96,96.214
tfa,3.9462,0.08361,-7.93e-05,3.56e-08,-6.09e-12,-250.52,80.676
c2f6,4.4745,0.092686,-9.19e-05,4.2e-08,-7.22e-12,-320.02,79.457408
c3f8,1.9759,0.054518,-1.01e-05,-6.9e-09,2.45e-12,-418.32,64.110605
butane,8.0151,0.16889,-0.00016744,7.65e-08,-1.32e-11,-516.57,112.543919
pentane,9.7925,0.20703,-0.00020533,9.38e-08,-1.61e-11,-615.05,126.598051
hexane,11.36,0.24597,-0.00024426,1.1171e-07,-1.9232e-11,-713.26,139.81
heptane,13.078,0.28431,-0.00028241,1.29e-07,-2.22e-11,-811.67,153.808976
n_octane_twisted,14.412,0.32398,-0.00032223,1.48e-07,-2.54e-11,-909.28,166.526512
cf3h,2.8492,0.04023,-3.15e-05,1.18e-08,-1.71e-12,-164.85,62.105
ethane1H,4.1197,0.080406,-7.22e-05,3.07e-08,-5.01e-12,-263.33,79.748
propane1H,5.9291,0.11846,-0.00011,4.81e-08,-8.01e-12,-361.38,95.555
butane1H,7.3881,0.1577,-0.00014927,6.61e-08,-1.11e-11,-458.61,108.51
c4f9H_secondary,6.6609,0.16006,-0.00015202,6.75e-08,-1.14e-11,-457.83,107.67
pentane1H,9.373,0.19517,-0.00018633,8.3e-08,-1.4e-11,-556.45,123.18
hexane1H,10.96,0.23396,-0.00022504,1.01e-07,-1.71e-11,-654.01,136.85
heptane1H,12.771,0.27204,-0.00026288,1.18e-07,-2.01e-11,-751.79,150.76
octane1H,14.24,0.3113,-0.00030219,1.36e-07,-2.32e-11,-958.27,164.19
cpropane,6.2633,0.099252,-9.6e-05,4.3e-08,-7.29e-12,-234.7,87.044
propene,6.3689,0.09903,-9.65e-05,4.37e-08,-7.48e-12,-264.42,89.765305
cbutane,6.2333,0.14106,-0.00013679,6.14e-08,-1.04e-11,-370.51,96.448287
butene,8.2447,0.13653,-0.00013345,6.05e-08,-1.04e-11,-371.81,104.398839
butene_OH,8.959,0.16092,-0.00015895,7.29e-08,-1.26e-11,-419.97,44.901
butene_2OH,8.3784,0.16198,-0.00015979,7.32e-08,-1.27e-11,-414.97,44.591
2_butene,7.1603,0.14015,-0.00013764,6.26e-08,-1.07e-11,-379.88,106.06
cbutane_diradical,9.9754,0.13412,-0.00013135,5.94e-08,-1.01e-11,-296.79,107.9
pentene,10.062,0.17448,-0.00017105,7.77e-08,-1.33e-11,-470.07,119.44
2_pentene,9.1206,0.17742,-0.00017433,7.92e-08,-1.36e-11,-478.17,119.98
hexene,11.802,0.21282,-0.00020922,9.51e-08,-1.63e-11,-567.5,134.2
2_hexene,10.874,0.21558,-0.0002122,9.65e-08,-1.66e-11,-575.6,135.25
heptene,13.372,0.25169,-0.00024804,1.13e-07,-1.94e-11,-665.26,147.34
2_heptene,12.666,0.2538,-0.00025026,1.14e-07,-1.96e-11,-673.36,149.61
octene,15.173,0.28984,-0.00028597,1.3e-07,-2.24e-11,-763.52,161.73
2_octene,14.264,0.29254,-0.00028888,1.32e-07,-2.26e-11,-771.62,162.83
2_propyl,7.8084,0.11084,-0.00010769,4.83e-08,-8.17e-12,-318.55,99.051
c4_secondary_rad,8.7357,0.153,-0.00015161,6.92e-08,-1.19e-11,-417.63,113.918165
c5_secondary_rad,10.623,0.19066,-0.00018888,8.62e-08,-1.48e-11,-515.44,129.45
c6_secondary_rad,12.314,0.22917,-0.00022726,1.04e-07,-1.79e-11,-613.03,142.85
c7_secondary_rad,14.118,0.26726,-0.0002651,1.21e-07,-2.08e-11,-710.8,157.13
c8_secondary_rad,15.714,0.30607,-0.00030385,1.39e-07,-2.39e-11,-917.28,170.93
c2f4h2o_prod,4.0754,0.088753,-7.97e-05,3.44e-08,-5.7e-12,-264.63,80.947
pfhpal,14.026,0.26416,-0.00026033,1.19e-07,-2.04e-11,-723.56,151.43
pfhxal,12.294,0.22583,-0.00022218,1.01e-07,-1.73e-11,-625.09,137.47
pfpnal,10.555,0.18749,-0.00018403,8.36e-08,-1.43e-11,-526.63,123.47
pfbal,8.7828,0.1493,-0.00014605,6.62e-08,-1.13e-11,-427.98,109.8
pfpal,6.9898,0.11121,-0.00010823,4.89e-08,-8.36e-12,-329.38,95.557
tfal,5.1988,0.073197,-7.05e-05,3.17e-08,-5.39e-12,-248.11,79.943
cfoh3,2.55,0.079268,-7.59e-05,3.52e-08,-6.19e-12,-207.12,71.934
ch2F,5.88,0.01476,-6.5e-06,1.08e-09,2.83e-15,-134.46,56.413
cf2oh2,2.252,0.072219,-7e-05,3.24e-08,-5.66e-12,-212.82,70.375
lactone,3.2354,0.064148,-6.22e-05,2.82e-08,-4.84e-12,-139.22,71.645
ch3,7.1829,0.0071344,9.56e-07,-1.68e-09,3.51e-13,35.82,50.1
cf2h,4.4063,0.023832,-1.61e-05,5.07e-09,-5.88e-13,-180.46,61.224
cooh2,1.5339,0.053254,-4.67e-05,2.02e-08,-3.39e-12,-145.57,64.209
cho2h,3.6706,0.02813,-1.58e-05,4.02e-09,-3.26e-13,-88.67,59.346
