,Molecule_x,a0_x,a1_x,a2_x,a3_x,a4_x,S(300K)_x,S(300K)_rnd,Molecule_y,a0_y,a1_y,a2_y,a3_y,a4_y,H_f_0K,S(300K)_y
38,butylallyl,9.49906231274021,0.119842819998787,-0.0001169911210188,5.29715305365534e-08,-9.06685252713609e-12,106.349,106.35,C4F7,9.4988,0.11984,-0.00011699,5.2971e-08,-9.0669e-12,-274.97,106.35
39,c2f4,5.72383653271453,0.0581708732103092,-5.62412118482618e-05,2.5471621191362e-08,-4.37864242229018e-12,74.103,74.1,c2f4,5.7237,0.058171,-5.6241e-05,2.5472e-08,-4.3786e-12,0.0,74.103
40,c2f4o,5.19718938777494,0.0731912692169911,-7.05164756634325e-05,3.16736862473439e-08,-5.39301690573828e-12,79.898,79.9,C2F4O_CFO,5.197,0.073191,-7.0516e-05,3.1674e-08,-5.393e-12,-246.94,79.899
41,fbsa,11.2339767540292,0.221246767903771,-0.0002190578343242,1.01092786115521e-07,-1.75933832141251e-11,131.185,131.19,fbsa,11.233,0.22125,-0.00021906,1.0109e-07,-1.7593e-11,0.0,131.19
42,fetsa,7.80237616842876,0.144416535501712,-0.0001425113459242,6.59878345013528e-08,-1.15352353486265e-11,104.167,104.17,fetsa,7.802,0.14442,-0.00014251,6.5988e-08,-1.1535e-11,0.0,104.17
43,fhpsa,16.0368307682676,0.337430938316896,-0.0003348602390888,1.54208246285908e-07,-2.6759698377038297e-11,172.271,172.27,fhpsa,16.036,0.33743,-0.00033486,1.5421e-07,-2.676e-11,0.0,172.27
44,nmefosaa,11.7431650827422,0.276132537974519,-0.0002575414774578,1.14081212480054e-07,-1.928699422746e-11,153.137,153.14,nmefosaa,11.743,0.27613,-0.00025754,1.1408e-07,-1.9287e-11,0.0,153.14
45,pfbcof,8.78769092818602,0.149268459338973,-0.0001460142426034,6.61925835929024e-08,-1.1336160683472699e-11,109.982,109.98,pfbcof,8.7874,0.14927,-0.00014601,6.6193e-08,-1.1336e-11,0.0,109.98
46,pfboh,8.27299756791735,0.176399177353653,-0.0001740666667296,7.97127378090893e-08,-1.3763303616996799e-11,113.586,113.59,pfboh,8.2726,0.1764,-0.00017407,7.9713e-08,-1.3763e-11,0.0,113.59
47,pfbs,11.1754516139221,0.215190539573657,-0.0002154171878263,9.96728271854215e-08,-1.73438685082805e-11,129.892,129.89,pfbs,11.175,0.21519,-0.00021542,9.9673e-08,-1.7344e-11,0.0,129.89
48,pfeoh,4.6899304247481,0.100286717973968,-9.85796905037158e-05,4.5230831366243e-08,-7.832421056110529e-12,84.568,84.57,pfetoh,4.6897,0.10029,-9.858e-05,4.5231e-08,-7.8324e-12,0.0,84.567
49,pfets,7.86228570679831,0.137698272220388,-0.0001379024102106,6.40232369880016e-08,-1.1179606579069299e-11,101.57,101.57,pfets,7.862,0.1377,-0.0001379,6.4023e-08,-1.118e-11,0.0,101.57
50,pfhpa,12.7050889810553,0.274732172322735,-0.0002692684761412,1.22557791710661e-07,-2.10632610319777e-11,151.734,151.73,pfhpa,12.704,0.27473,-0.00026927,1.2256e-07,-2.1063e-11,0.0,151.73
51,pfhpoh,13.3743865181141,0.291742343800281,-0.0002889508833926,1.32381715618726e-07,-2.2849505893445298e-11,155.321,155.32,pfhpoh,13.374,0.29174,-0.00028895,1.3238e-07,-2.2849e-11,0.0,155.32
52,pfhps,16.2519305811943,0.330394077707744,-0.0003300072083536,1.52161460114668e-07,-2.6394053866114397e-11,172.057,172.06,pfhps,16.251,0.33039,-0.00033001,1.5216e-07,-2.6394e-11,0.0,172.06
53,pfhxa,10.9727721262858,0.236419919506264,-0.0002311604975987,1.0510699697279e-07,-1.8055645668974197e-11,137.721,137.72,pfhxa,10.972,0.23642,-0.00023116,1.0511e-07,-1.8056e-11,0.0,137.72
54,pfhxcof,12.2861443815734,0.225807074803073,-0.0002221378930417,1.01048780852645e-07,-1.73432101658844e-11,137.548,137.55,pfhxcof,12.286,0.22581,-0.00022214,1.0105e-07,-1.7343e-11,0.0,137.55
55,pfhxoh,11.6262043940364,0.253457684420742,-0.0002508630988926,1.14937570545782e-07,-1.98426023493232e-11,141.242,141.24,pfhxoh,11.626,0.25346,-0.00025086,1.1494e-07,-1.9843e-11,0.0,141.24
56,pfhxs,14.7846805395571,0.291184133563142,-0.0002907671501903,1.34101396995831e-07,-2.3268704729224798e-11,158.459,158.46,pfhxs,14.784,0.29118,-0.00029077,1.341e-07,-2.3269e-11,0.0,158.46
57,pfoa,14.427269217785,0.313104227692195,-0.000307473029139,1.40067541388083e-07,-2.4083285637641696e-11,165.667,165.67,pfoa,14.427,0.3131,-0.00030747,1.4007e-07,-2.4083e-11,0.0,165.67
58,pfocof,14.0798504394959,0.263934412770236,-0.0002600234956185,1.18382202237681e-07,-2.0328378049318e-11,151.881,151.88,pfocof,14.079,0.26393,-0.00026002,1.1838e-07,-2.0328e-11,0.0,151.88
59,pfooh,14.7737165394826,0.331207776686553,-0.0003285247932516,1.50625079438481e-07,-2.6010740899325696e-11,168.239,168.24,pfooh,14.773,0.33121,-0.00032852,1.5062e-07,-2.6011e-11,0.0,168.24
60,pfpeoh,9.96371060284604,0.214914946279663,-0.0002124645865249,9.73291889147161e-08,-1.6804191395478597e-11,127.536,127.54,pfpnoh,9.9632,0.21492,-0.00021246,9.7329e-08,-1.6804e-11,0.0,127.54
61,pfpes,12.9397390285632,0.253233453437959,-0.0002531019400487,1.16884683059398e-07,-2.0305697219308098e-11,144.31,144.31,pfpns,12.939,0.25323,-0.0002531,1.1688e-07,-2.0306e-11,0.0,144.31
62,pfpncof,10.4959083525232,0.187658279556438,-0.0001842154772806,8.3691068729556e-08,-1.4352591193132699e-11,123.371,123.37,pfpncof,10.495,0.18766,-0.00018422,8.3691e-08,-1.4353e-11,0.0,123.37
63,pfpra,5.728546176403,0.121560456457228,-0.0001168779656448,5.27577798183522e-08,-9.030624705888129e-12,96.242,96.24,pfpra,5.7283,0.12156,-0.00011688,5.2758e-08,-9.0306e-12,0.0,96.243
64,pfprcof,7.01482431170193,0.111099636220399,-0.0001080794275804,4.88296625522989e-08,-8.344492248947179e-12,95.56,95.56,pfprcof,7.0146,0.1111,-0.00010808,4.883e-08,-8.3445e-12,0.0,95.561
65,pfproh,6.82136921751067,0.137147773041608,-0.0001347893173583,6.16392524870513e-08,-1.06364459560862e-11,101.574,101.57,pfets,7.862,0.1377,-0.0001379,6.4023e-08,-1.118e-11,0.0,101.57
66,pfprs,9.53570332310659,0.176336259342476,-0.0001765000510078,8.17617686008144e-08,-1.4245847095444399e-11,116.915,116.92,pfprs,9.5353,0.17634,-0.0001765,8.1762e-08,-1.4246e-11,0.0,116.92
67,propene,4.41907550660414,0.0990532460372677,-9.6612242476917e-05,4.37718938533688e-08,-7.50027380648405e-12,84.441,84.44,propene,4.4189,0.099053,-9.6612e-05,4.3772e-08,-7.5002e-12,0.0,84.442
68,tfa,1.85197139815904,0.0837956561454363,-7.94170306963797e-05,3.56303121915694e-08,-6.08128519909625e-12,75.177,75.18,tfa,1.8518,0.083796,-7.9417e-05,3.563e-08,-6.0813e-12,0.0,75.178
69,tfcof,5.19692159008784,0.0731933327006083,-7.05236074977039e-05,3.16796699989828e-08,-5.39449280039892e-12,79.91,79.91,tfcof,5.1967,0.073193,-7.0524e-05,3.168e-08,-5.3945e-12,0.0,79.91
70,triflate_amide,5.75708807425743,0.107058623433367,-0.0001055108809212,4.91018460203465e-08,-8.63282271626857e-12,87.728,87.73,triflate_amide,5.7568,0.10706,-0.00010551,4.9102e-08,-8.6328e-12,0.0,87.728
71,triflic,6.09560322803163,0.0997487298140731,-0.0001003925537819,4.69339791313906e-08,-8.246251803791699e-12,87.01,87.01,triflic,6.0954,0.099749,-0.00010039,4.6934e-08,-8.2463e-12,0.0,87.011
