Molecule,SMILES,C Count,F Count,Total sp3 Count,sp3 C-F Count,sp3 C-C Count,Total sp2 Count,sp2 C-C Count,Torsions C-C-C-C,Torsions C-C-C-F,Torsions F-C-C-C,Torsions F-C-C-F,Rotatable Bonds Count,O Count,H Count,sp3 H-O Count,sp3 C-O Count,Torsions H-O-C-F,Torsions H-O-C-C,Torsions O-C-C-C,Torsions O-C-C-F,Torsions F-C-C-O,Torsions C-C-C-O,Torsions C-C-O-H,Torsions F-C-O-H,sp2 C-O Count,sp3 C-H Count,Torsions F-C-C-H,Torsions O-C-C-H,sp3 O-O Count,Torsions C-C-O-O,Torsions F-C-O-O,Torsions C-C-C-H,Torsions H-C-O-H,Torsions O-C-O-H,Torsions H-O-C-O,Torsions C-C-O-C,Torsions F-C-O-C,Torsions C-O-C-H,Torsions C-O-C-F,Torsions C-O-C-C,Torsions H-C-C-F,Torsions O-C-C-O,Torsions C-O-C-O,Torsions O-C-O-C,Torsions H-C-C-C,Torsions H-C-C-O,Torsions H-C-C-H,a0,a1,a2,a3,a4,H_f_0K,S_300K 
22ftoh,OCCC(F)(F)C(F)(F)F,4,5,14,5,3,,,1,,5,6,4,1,5,1,1,,,,,,1,1,,,4,4,,,,,4,2,,,,,,,,,,,,,2,4,5.3206,0.13602,-0.00010839,4.2523e-08,-6.5343e-12,0.0,100.02
22rh,CCC(F)(F)C(F)(F)F,4,5,13,5,3,,,1,,5,6,3,,5,,,,,,,,,,,,5,4,,,,,5,,,,,,,,,,,,,,,6,3.92,0.12557,-9.8047e-05,3.7932e-08,-5.782e-12,0.0,92.759
23_ftca,O=C(O)CCC(F)(F)C(F)(F)F,5,5,15,5,4,1,,2,3,2,6,5,2,5,1,1,,,,,,2,1,,1,4,4,,,,,4,,1,,,,,,,,,,,2,4,4,3.8371,0.16677,-0.00013893,5.6652e-08,-9.0007e-12,0.0,110.95
31_butene,C=C(F)C(F)(F)C(F)(F)F,4,6,10,6,2,1,1,1,4,2,8,2,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4.1921,0.13202,-0.00012382,5.5152e-08,-9.3714e-12,0.0,95.365
32_pentene,C=CC(F)(F)C(F)(F)C(F)(F)F,5,7,13,7,3,1,1,2,5,4,10,3,,3,,,,,,,,,,,,3,2,,,,,1,,,,,,,,,,,,,,,,5.0985,0.1614,-0.00014732,6.4332e-08,-1.0771e-11,0.0,105.83
32ftoh,OCCC(F)(F)C(F)(F)C(F)(F)F,5,7,17,7,4,,,2,5,4,10,5,1,5,1,1,,,,,,1,1,,,4,4,,,,,4,2,,,,,,,,,,,,,2,4,7.1538,0.17364,-0.00014538,5.9317e-08,-9.4119e-12,0.0,118.37
32rh,CCC(F)(F)C(F)(F)C(F)(F)F,5,7,16,7,4,,,2,2,7,10,4,,5,,,,,,,,,,,,5,4,,,,,5,,,,,,,,,,,,,,,6,5.7499,0.1636,-0.00013583,5.521e-08,-8.7559e-12,0.0,108.8
33_ftca,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)F,6,7,18,7,5,1,,3,5,4,10,6,2,5,1,1,,,,,,2,1,,1,4,4,,,,,4,,1,,,,,,,,,,,2,4,4,5.6588,0.20479,-0.00017668,7.3899e-08,-1.1968e-11,0.0,127.08
42ftoh,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,9,20,9,5,,,3,7,6,14,6,1,5,1,1,,,,,,1,1,,,4,4,,,,,4,2,,,,,,,,,,,,,2,4,8.7226,0.21248,-0.00018413,7.7108e-08,-1.2484e-11,0.0,128.55
42rh,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,9,19,9,5,,,3,4,9,14,5,,5,,,,,,,,,,,,5,4,,,,,5,,,,,,,,,,,,,,,6,7.3155,0.20246,-0.0001746,7.3015e-08,-1.1831e-11,0.0,121.66
43_ftca,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,9,21,9,6,1,,4,7,6,14,7,2,5,1,1,,,,,,2,1,,1,4,4,,,,,4,,1,,,,,,,,,,,2,4,4,7.2844,0.24349,-0.00021528,9.162e-08,-1.5028e-11,0.0,140.15
51_hexene,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,10,16,10,4,1,1,3,8,6,16,4,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,7.6842,0.20856,-0.00019992,8.9987e-08,-1.5373e-11,0.0,124.02
52_heptene,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,11,19,11,5,1,1,4,9,8,18,5,,3,,,,,,,,,,,,3,2,,,,,1,,,,,,,,,,,,,,,,8.7437,0.23752,-0.00022295,9.8925e-08,-1.6728e-11,0.0,134.24
52rh,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,11,22,11,6,,,4,6,11,18,6,,5,,,,,,,,,,,,5,4,,,,,5,,,,,,,,,,,,,,,6,9.1028,0.24061,-0.00021253,9.0373e-08,-1.4822e-11,0.0,135.87
53_ftca,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,11,24,11,7,1,,5,9,8,18,8,2,5,1,1,,,,,,2,1,,1,4,4,,,,,4,,1,,,,,,,,,,,2,4,4,8.896,0.28228,-0.00025402,1.0942e-07,-1.8104e-11,0.0,153.89
61_heptene,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,12,19,12,5,1,1,4,10,8,20,5,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,9.3318,0.24725,-0.00023855,1.0773e-07,-1.8439e-11,0.0,137.79
62_octene,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,13,22,13,6,1,1,5,11,10,22,6,,3,,,,,,,,,,,,3,2,,,,,1,,,,,,,,,,,,,,,,10.416,0.27604,-0.00026132,1.1652e-07,-1.9764e-11,0.0,147.99
62ftoh,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,13,26,13,7,,,5,11,10,22,8,1,5,1,1,,,,,,1,1,,,4,4,,,,,4,2,,,,,,,,,,,,,2,4,12.145,0.2893,-0.00026063,1.1217e-07,-1.8532e-11,0.0,156.24
62rh,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,13,25,13,7,,,5,8,13,22,7,,5,,,,,,,,,,,,5,4,,,,,5,,,,,,,,,,,,,,,6,10.821,0.279,-0.00025075,1.0789e-07,-1.7842e-11,0.0,149.64
71_octene,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,14,22,14,6,1,1,5,12,10,24,6,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,11.221,0.28505,-0.00027604,1.2486e-07,-2.1385e-11,0.0,152.36
pfbcof,O=C(F)C(F)(F)C(F)(F)C(F)(F)F,4,8,11,8,3,1,,1,3,5,12,3,1,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,8.7874,0.14927,-0.00014601,6.6193e-08,-1.1336e-11,0.0,109.98
pfboh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,9,14,9,3,,,1,4,5,14,4,1,1,1,1,,,,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,8.2726,0.1764,-0.00017407,7.9713e-08,-1.3763e-11,0.0,113.59
pfeoh,OC(F)(F)C(F)(F)F,2,5,8,5,1,,,,,,6,2,1,1,1,1,,,,,3,,1,2,,,,,,,,,,,,,,,,,,,,,,,,4.6897,0.10029,-9.858e-05,4.5231e-08,-7.8324e-12,0.0,84.567
pfhpa,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,13,21,13,6,1,,4,11,8,22,7,2,1,1,1,,,,,4,2,1,,1,,,,,,,,,1,,,,,,,,,,,,,,12.704,0.27473,-0.00026927,1.2256e-07,-2.1063e-11,0.0,151.73
pfhpoh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,15,23,15,6,,,4,13,8,26,7,1,1,1,1,,,,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,13.374,0.29174,-0.00028895,1.3238e-07,-2.2849e-11,0.0,155.32
pfhxa,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,11,18,11,5,1,,3,9,6,18,6,2,1,1,1,,,,,4,2,1,,1,,,,,,,,,1,,,,,,,,,,,,,,10.972,0.23642,-0.00023116,1.0511e-07,-1.8056e-11,0.0,137.72
pfhxcof,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,12,17,12,5,1,,3,10,6,20,5,1,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,12.286,0.22581,-0.00022214,1.0105e-07,-1.7343e-11,0.0,137.55
pfhxoh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,13,20,13,5,,,3,11,6,22,6,1,1,1,1,,,,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,11.626,0.25346,-0.00025086,1.1494e-07,-1.9843e-11,0.0,141.24
pfoa,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,15,24,15,7,1,,5,13,10,26,8,2,1,1,1,,,,,4,2,1,,1,,,,,,,,,1,,,,,,,,,,,,,,14.427,0.3131,-0.00030747,1.4007e-07,-2.4083e-11,0.0,165.67
pfocof,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,14,20,14,6,1,,4,12,8,24,6,1,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,14.079,0.26393,-0.00026002,1.1838e-07,-2.0328e-11,0.0,151.88
pfooh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,17,26,17,7,,,5,15,10,30,8,1,1,1,1,,,,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,14.773,0.33121,-0.00032852,1.5062e-07,-2.6011e-11,0.0,168.24
pfpeoh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,11,17,11,4,,,2,9,4,18,5,1,1,1,1,,,,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,9.9632,0.21492,-0.00021246,9.7329e-08,-1.6804e-11,0.0,127.54
pfpncof,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,10,14,10,4,1,,2,8,4,16,4,1,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,10.495,0.18766,-0.00018422,8.3691e-08,-1.4353e-11,0.0,123.37
pfpra,O=C(O)C(F)(F)C(F)(F)F,3,5,9,5,2,1,,,,3,6,3,2,1,1,1,,,,,4,2,1,,1,,,,,,,,,1,,,,,,,,,,,,,,5.7283,0.12156,-0.00011688,5.2758e-08,-9.0306e-12,0.0,96.243
pfprcof,O=C(F)C(F)(F)C(F)(F)F,3,6,8,6,2,1,,,1,3,8,2,1,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,7.0146,0.1111,-0.00010808,4.883e-08,-8.3445e-12,0.0,95.561
pfproh,OC(F)(F)C(F)(F)C(F)(F)F,3,7,11,7,2,,,,2,3,10,3,1,1,1,1,,,,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,7.862,0.1377,-0.0001379,6.4023e-08,-1.118e-11,0.0,101.57
