Molecule,IUPAC,sp2 Pair Count C-C,sp2 Pair Count C-O,sp2 Pair Count O-O,sp2 Total Count,sp3 Pair Count C-C,sp3 Pair Count C-F,sp3 Pair Count C-H,sp3 Pair Count C-O,sp3 Pair Count F-H,sp3 Pair Count H-O,sp3 Pair Count O-O,sp3 Total Count,Num. Atoms C,Num. Atoms F,Num. Atoms H,Num. Atoms O,SMILES,Torsions Number of Rot. Bonds,a0,a1,a2,a3,a4,H_f_0K,S(300K)
cf3o,CF3O,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0,[O]C(F)(F)F,0,3.3106,0.054168,-5.4285e-05,2.4952e-08,-4.3078e-12,-101.42,69.645
cof,CFO,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,O=[C]F,0,6.2029,0.012742,-9.094e-06,3.0673e-09,-3.974e-13,-42.21,59.494
cf2o_h2o,CH2F2O2,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0,2.0,2.0,O.O=C(F)F,0,13.759,0.038391,-3.2525e-05,1.4095e-08,-2.3882e-12,-205.55,84.355874
cooh2,CH2O3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0,3.0,O=C(O)O,0,1.5339,0.053254,-4.6667e-05,2.0232e-08,-3.3924e-12,-145.57,64.209
cfho,CHFO,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,O=CF,0,4.9136,0.018727,-8.9371e-06,1.2606e-09,1.1759e-13,-199.45,58.965
cfo2,CFO2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,[O]C(=O)F,0,3.743,0.036252,-3.4428e-05,1.517e-08,-2.5331e-12,-80.0,64.74
c4_sec_sec_rad_isots,C4F9,1.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,9.0,0.0,0.0,F/C(=C(/F)C(F)(F)F)C(F)(F)F.[F],0,,,,,,,
ch2F,CH2F,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,[CH2]F,0,5.88,0.01476,-6.5001e-06,1.0781e-09,2.8349e-15,-134.46,56.413
21_propene,C3H2F4,1.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,2.0,0.0,C=C(F)C(F)(F)F,0,2.3416,0.09432,-8.6552e-05,3.8156e-08,-6.4503e-12,0.0,80.045
oh,HO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,[OH],0,7.075,-0.00071119,9.4987e-07,-2.5493e-11,-7.4926e-14,8.91,42.602
c2f4,C2F4,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,FC(F)=C(F)F,0,5.7237,0.058171,-5.6241e-05,2.5472e-08,-4.3786e-12,0.0,74.103
hf,HF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,F,0,7.0265,-0.00037026,2.8603e-07,3.5144e-10,-1.431e-13,-65.18,41.525
co2,CO2,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,O=C=O,0,4.7791,0.016904,-1.3214e-05,5.1722e-09,-8.0625e-13,0.0,52.42
cf2_2h2o,CH4F2O2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,2.0,4.0,2.0,F[C]F.O.O,0,16.729,0.054232,-5.1587e-05,2.5035e-08,-4.6257e-12,-167.11,97.532
cpropane_picomplex,C3F6,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,6.0,0.0,0.0,FC(F)=C(F)F.F[C]F,0,,,,,,,
1H_methane,CHF3,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,FC(F)F,0,2.8523,0.040222,-3.1453e-05,1.1785e-08,-1.7078e-12,0.0,62.105
tfa,C2HF3O2,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,6.0,2.0,3.0,1.0,2.0,O=C(O)C(F)(F)F,0,1.8518,0.083796,-7.9417e-05,3.563e-08,-6.0813e-12,0.0,75.178
cpropane,C3F6,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,0.0,0.0,FC1(F)C(F)(F)C1(F)F,0,6.2633,0.099252,-9.5961e-05,4.3009e-08,-7.2926e-12,-234.7,95.930591
c3f8,C3F8,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,8.0,0.0,0.0,FC(F)(F)C(F)(F)C(F)(F)F,0,1.9759,0.054518,-1.0129e-05,-6.9031e-09,2.4466e-12,-418.32,64.110605
cf2o,CF2O,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,O=C(F)F,0,3.5356,0.033932,-3.0739e-05,1.3171e-08,-2.163e-12,-144.2,61.794995
cf2,CF2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,F[C]F,0,4.717,0.02003,-1.8375e-05,7.8361e-09,-1.2712e-12,-46.34,57.490866
cf3,CF3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,F[C](F)F,0,3.5673,0.037178,-3.5578e-05,1.5742e-08,-2.635e-12,-111.17,65.368433
c2f6,C2F6,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,6.0,0.0,0.0,FC(F)(F)C(F)(F)F,0,4.4745,0.092686,-9.1877e-05,4.1959e-08,-7.2161e-12,-320.02,79.457408
o,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[O],0,4.9682,0.0,0.0,0.0,0.0,58.997,36.469
